run_id,model,signal,n_windows,n_violated,n_missing_signal,auroc,auroc_lead3
t5_apa_seed1,dsqwen-14b,queue_len,175,145,0,1.0,0.9879062736205594
t5_apa_seed1,dsqwen-14b,decode_tps,175,145,0,0.9740229885057471,0.9394053917863442
t5_apa_seed1,dsqwen-14b,prefill_tps,175,145,0,0.9740229885057471,0.9394053917863442
t5_apa_seed1,dsqwen-7b,z_m,174,0,0,,
t5_apa_seed1,dsqwen-7b,queue_len,174,0,0,,
t5_apa_seed1,dsqwen-7b,decode_tps,174,0,0,,
t5_apa_seed1,dsqwen-7b,prefill_tps,174,0,0,,
t5_tre_seed1,dsllama-8b,z_m,174,0,0,,
t5_tre_seed1,dsllama-8b,queue_len,174,0,0,,
t5_tre_seed1,dsllama-8b,decode_tps,174,0,0,,
t5_tre_seed1,dsllama-8b,prefill_tps,174,0,0,,
t5_tre_seed1,dsqwen-14b,z_m,175,112,0,0.8715986394557823,0.8211259079903148
t5_tre_seed1,dsqwen-14b,queue_len,175,112,0,0.9426020408163265,0.919113196125908
t5_tre_seed1,dsqwen-14b,decode_tps,175,112,0,0.8561507936507936,0.8610774818401937
t5_tre_seed1,dsqwen-14b,prefill_tps,175,112,0,0.8561507936507936,0.8610774818401937
t5_tre_seed1,dsqwen-7b,z_m,174,6,0,0.20932539682539683,0.45265151515151514
t5_tre_seed1,dsqwen-7b,queue_len,174,6,0,0.10863095238095238,0.20227272727272727
t5_tre_seed1,dsqwen-7b,decode_tps,174,6,0,0.21428571428571427,0.2518939393939394
t5_tre_seed1,dsqwen-7b,prefill_tps,174,6,0,0.21428571428571427,0.2518939393939394
t6_apa_seed1,dsllama-8b,z_m,167,6,0,0.7996894409937888,0.8061708860759493
t6_apa_seed1,dsllama-8b,queue_len,167,6,0,0.8555900621118012,0.8575949367088608
t6_apa_seed1,dsllama-8b,decode_tps,167,6,0,0.8188405797101449,0.7899525316455697
t6_apa_seed1,dsllama-8b,prefill_tps,167,6,0,0.8188405797101449,0.7899525316455697
t6_apa_seed1,dsqwen-14b,z_m,168,0,0,,
t6_apa_seed1,dsqwen-14b,queue_len,168,0,0,,
t6_apa_seed1,dsqwen-14b,decode_tps,168,0,0,,
t6_apa_seed1,dsqwen-14b,prefill_tps,168,0,0,,
