model,serve_id,node,gpu_ids,cycle_idx,direction,cold,t_api_start,t_api_return,t_log_marker,t_ready,dur_api_s,dur_engine_s,dur_e2e_s,mem_before_mb,mem_after_mb,inflight_load,inflight_total,inflight_errors,inflight_p99_ms
dsllama-8b,dsllama-8b-nscc-ds-4a100-node9-gpu-1-5cb98fdbb6-mr5b7,nscc-ds-4a100-node9,1,16,sleep,False,2026-07-10T09:10:00.924504Z,2026-07-10T09:10:02.023962Z,2026-07-10T09:10:01.878465Z,2026-07-10T09:10:02.028610Z,1.099459,1.014905,1.104107,37932,4070,False,0,0,
dsllama-8b,dsllama-8b-nscc-ds-4a100-node9-gpu-1-5cb98fdbb6-mr5b7,nscc-ds-4a100-node9,1,16,wake,False,2026-07-10T09:10:03.329862Z,2026-07-10T09:10:04.038002Z,2026-07-10T09:10:03.896837Z,2026-07-10T09:10:04.068003Z,0.70814,0.625927,0.738141,4070,37932,False,0,0,
dsllama-8b,dsllama-8b-nscc-ds-4a100-node9-gpu-1-5cb98fdbb6-mr5b7,nscc-ds-4a100-node9,1,17,sleep,False,2026-07-10T09:10:05.384005Z,2026-07-10T09:10:06.468138Z,2026-07-10T09:10:06.325268Z,2026-07-10T09:10:06.473783Z,1.084133,0.990994,1.089779,37932,4070,False,0,0,
dsllama-8b,dsllama-8b-nscc-ds-4a100-node9-gpu-1-5cb98fdbb6-mr5b7,nscc-ds-4a100-node9,1,17,wake,False,2026-07-10T09:10:07.781867Z,2026-07-10T09:10:08.463432Z,2026-07-10T09:10:08.320441Z,2026-07-10T09:10:08.488887Z,0.681565,0.625332,0.70702,4070,37932,False,0,0,
dsllama-8b,dsllama-8b-nscc-ds-4a100-node9-gpu-1-5cb98fdbb6-mr5b7,nscc-ds-4a100-node9,1,18,sleep,False,2026-07-10T09:10:09.785914Z,2026-07-10T09:10:10.885938Z,2026-07-10T09:10:10.745929Z,2026-07-10T09:10:10.891832Z,1.100024,1.006449,1.105918,37932,4070,False,0,0,
dsllama-8b,dsllama-8b-nscc-ds-4a100-node9-gpu-1-5cb98fdbb6-mr5b7,nscc-ds-4a100-node9,1,18,wake,False,2026-07-10T09:10:12.194181Z,2026-07-10T09:10:12.893907Z,2026-07-10T09:10:12.748613Z,2026-07-10T09:10:12.922865Z,0.699726,0.624941,0.728684,4070,37932,False,0,0,
dsllama-8b,dsllama-8b-nscc-ds-4a100-node9-gpu-1-5cb98fdbb6-mr5b7,nscc-ds-4a100-node9,1,19,sleep,False,2026-07-10T09:10:14.237570Z,2026-07-10T09:10:15.325201Z,2026-07-10T09:10:15.180610Z,2026-07-10T09:10:15.329248Z,1.087631,1.004639,1.091678,37932,4070,False,0,0,
dsllama-8b,dsllama-8b-nscc-ds-4a100-node9-gpu-1-5cb98fdbb6-mr5b7,nscc-ds-4a100-node9,1,19,wake,False,2026-07-10T09:10:16.645891Z,2026-07-10T09:10:17.339382Z,2026-07-10T09:10:17.198272Z,2026-07-10T09:10:17.381885Z,0.693491,0.62528,0.735993,4070,37932,False,0,0,
dsllama-8b,dsllama-8b-nscc-ds-4a100-node9-gpu-1-5cb98fdbb6-mr5b7,nscc-ds-4a100-node9,1,20,sleep,False,2026-07-10T09:10:18.685865Z,2026-07-10T09:10:19.762360Z,2026-07-10T09:10:19.622500Z,2026-07-10T09:10:19.766414Z,1.076495,0.995069,1.080549,37932,4070,False,0,0,
dsllama-8b,dsllama-8b-nscc-ds-4a100-node9-gpu-1-5cb98fdbb6-mr5b7,nscc-ds-4a100-node9,1,20,wake,False,2026-07-10T09:10:21.058558Z,2026-07-10T09:10:21.766607Z,2026-07-10T09:10:21.615916Z,2026-07-10T09:10:21.798541Z,0.708049,0.625821,0.739984,4070,37932,False,0,0,
dsllama-8b,dsllama-8b-nscc-ds-4a100-node9-gpu-1-5cb98fdbb6-mr5b7,nscc-ds-4a100-node9,1,21,sleep,False,2026-07-10T09:10:53.217877Z,2026-07-10T09:10:54.338222Z,2026-07-10T09:10:54.193688Z,2026-07-10T09:10:54.349399Z,1.120344,1.0379,1.131522,37932,4070,True,130,4,2242.181
dsllama-8b,dsllama-8b-nscc-ds-4a100-node9-gpu-1-5cb98fdbb6-mr5b7,nscc-ds-4a100-node9,1,21,wake,False,2026-07-10T09:10:55.665897Z,2026-07-10T09:10:56.356897Z,2026-07-10T09:10:56.212300Z,2026-07-10T09:10:56.383030Z,0.691,0.626861,0.717134,4070,37932,True,130,4,2242.181
dsllama-8b,dsllama-8b-nscc-ds-4a100-node9-gpu-1-5cb98fdbb6-mr5b7,nscc-ds-4a100-node9,1,22,sleep,False,2026-07-10T09:11:57.892599Z,2026-07-10T09:11:59.051786Z,2026-07-10T09:11:58.906163Z,2026-07-10T09:11:59.062957Z,1.159187,1.065046,1.170358,37932,4070,True,130,4,2280.923
dsllama-8b,dsllama-8b-nscc-ds-4a100-node9-gpu-1-5cb98fdbb6-mr5b7,nscc-ds-4a100-node9,1,22,wake,False,2026-07-10T09:12:00.366737Z,2026-07-10T09:12:01.071733Z,2026-07-10T09:12:00.931031Z,2026-07-10T09:12:01.094312Z,0.704996,0.6264,0.727575,4070,37932,True,130,4,2280.923
dsllama-8b,dsllama-8b-nscc-ds-4a100-node9-gpu-1-5cb98fdbb6-mr5b7,nscc-ds-4a100-node9,1,23,sleep,False,2026-07-10T09:13:02.589875Z,2026-07-10T09:13:03.726607Z,2026-07-10T09:13:03.580307Z,2026-07-10T09:13:03.731406Z,1.136732,1.059579,1.141531,37932,4070,True,130,4,2284.918
dsllama-8b,dsllama-8b-nscc-ds-4a100-node9-gpu-1-5cb98fdbb6-mr5b7,nscc-ds-4a100-node9,1,23,wake,False,2026-07-10T09:13:05.060804Z,2026-07-10T09:13:05.777736Z,2026-07-10T09:13:05.629425Z,2026-07-10T09:13:05.802311Z,0.716933,0.632269,0.741507,4070,37932,True,130,4,2284.918
dsllama-8b,dsllama-8b-nscc-ds-4a100-node9-gpu-1-5cb98fdbb6-mr5b7,nscc-ds-4a100-node9,1,24,sleep,False,2026-07-10T09:14:07.214008Z,2026-07-10T09:14:08.355415Z,2026-07-10T09:14:08.211686Z,2026-07-10T09:14:08.360669Z,1.141407,1.060841,1.146661,37932,4070,True,130,4,2178.521
