model,trim_ramp_windows,window_end_ms,n_requests,violated,ttft_p95,tpot_p95,e2e_p95,errors
dsllama-8b,1,1783792048744,320,False,126.5060231089592,17.839897218651657,2366.1798015236855,0
dsllama-8b,1,1783792053744,314,False,126.13584101200104,17.839897218651657,2366.1798015236855,0
dsllama-8b,1,1783792058744,307,False,127.73533910512924,17.965935933308337,2375.946193933487,0
dsllama-8b,1,1783792063744,306,False,134.14891064167023,22.905026364514207,2996.0043281316757,0
dsllama-8b,1,1783792068744,308,True,140.35781472921371,41.58774963097096,21340.40830284357,0
dsllama-8b,1,1783792073744,280,True,153.65391969680786,51.86671508501654,26624.164156615734,0
dsllama-8b,1,1783792078744,261,True,162.11029887199402,58.162555623427764,29841.3637727499,0
dsllama-8b,1,1783792083744,257,True,181.51570111513138,62.21221035998862,31918.256044387817,0
dsllama-8b,1,1783792088744,262,True,259.6503868699074,65.71172084477084,33717.5051048398,0
dsllama-8b,1,1783792093744,249,True,280.85436671972275,67.73728772327158,34825.18871873617,0
dsllama-8b,1,1783792098744,249,True,9354.288458824158,69.57813307147204,42625.161826610565,0
dsllama-8b,1,1783792103744,255,True,10982.300482690334,69.79365694954437,44407.8930541873,0
dsllama-8b,1,1783792108744,265,True,14706.569634377956,69.79365694954437,48895.39307355881,0
dsllama-8b,1,1783792113744,261,True,21251.534275710583,69.8638339536064,61216.58330410719,0
dsllama-8b,1,1783792118744,269,True,36343.2090356946,77.04459546305195,70846.51316702366,0
dsllama-8b,1,1783792123744,266,True,36343.2090356946,80.2825998420118,70939.64595347643,0
dsllama-8b,1,1783792128744,271,True,39253.04541736841,83.29487243510506,72886.80387288332,9
dsllama-8b,1,1783792133744,277,True,41583.73226970434,83.85993919377225,74543.18817704916,38
dsllama-8b,1,1783792138744,267,True,50154.04054522514,85.78958216537002,75811.4181086421,61
dsllama-8b,1,1783792143744,269,True,50639.237992465496,88.24993139260435,75811.4181086421,78
dsllama-8b,1,1783792148744,245,True,50154.04054522514,86.56070168529239,75811.4181086421,84
dsllama-8b,1,1783792153744,258,True,52089.76421505213,90.99385970492652,79144.29136365652,92
dsllama-8b,1,1783792158744,249,True,58417.02438890934,92.03279969043695,80946.70090079308,84
dsllama-8b,1,1783792163744,241,True,58417.02438890934,92.47896754695012,89661.10847890377,60
dsllama-8b,1,1783792168744,256,True,59421.808660030365,93.00242654556398,86240.24606496096,79
dsllama-8b,1,1783792173744,258,True,59421.808660030365,92.03279969043695,82618.71948093176,96
dsllama-8b,1,1783792178744,272,True,59421.808660030365,92.47896754695012,81500.99109113216,114
dsllama-8b,1,1783792183744,263,True,55415.676452219486,91.53717518610964,74084.00275558233,119
dsllama-8b,1,1783792188744,261,True,51779.54305708408,94.43536177714977,74084.00275558233,118
dsllama-8b,1,1783792193744,270,True,46492.518335580826,98.38681762815688,61993.06348711252,113
dsllama-8b,1,1783792198744,267,True,53467.29911863804,97.45436100518867,83660.14076769352,84
dsllama-8b,1,1783792203744,275,True,53467.29911863804,97.64725274594096,83660.14076769352,93
dsllama-8b,1,1783792208744,280,True,53467.29911863804,97.64725274594096,76093.41925382614,109
dsllama-8b,1,1783792213744,286,True,52964.303739368916,98.38681762815688,73497.08214402199,114
dsllama-8b,1,1783792218744,292,True,45366.595804691315,97.45436100518867,72878.25934588909,117
dsllama-8b,1,1783792223744,285,True,49873.78814071417,100.67636796697946,76093.41925382614,117
dsllama-8b,1,1783792228744,286,True,35169.40692812204,102.80714259863834,67237.1346950531,106
