NAMESPACE              NAME                                                          READY   STATUS                   RESTARTS        AGE     IP               NODE                   NOMINATED NODE   READINESS GATES
gpu-operator           nvidia-operator-validator-tjb42                               1/1     Running                  1 (86d ago)     86d     10.244.1.21      cloud                  <none>           <none>
gpu-operator           nvidia-operator-validator-wrs4r                               1/1     Running                  1 (125d ago)    247d    10.244.0.109     nscc-ds-4a100-node10   <none>           <none>
gpu-operator           nvidia-operator-validator-zpg4n                               1/1     Running                  0               247d    10.244.3.153     nscc-ds-4a100-node9    <none>           <none>
kube-flannel           kube-flannel-ds-5ztw9                                         1/1     Running                  0               87d     192.168.223.75   nscc-ds-4a100-node9    <none>           <none>
kube-flannel           kube-flannel-ds-klc2n                                         1/1     Running                  0               87d     192.168.223.76   nscc-ds-4a100-node10   <none>           <none>
kube-flannel           kube-flannel-ds-vxqsl                                         1/1     Running                  2 (86d ago)     87d     192.168.223.85   cloud                  <none>           <none>
kube-system            coredns-66f779496c-df79n                                      1/1     Running                  1 (125d ago)    374d    10.244.0.114     nscc-ds-4a100-node10   <none>           <none>
kube-system            coredns-66f779496c-j98l2                                      1/1     Running                  3 (125d ago)    422d    10.244.0.126     nscc-ds-4a100-node10   <none>           <none>
kube-system            etcd-nscc-ds-4a100-node10                                     1/1     Running                  12 (125d ago)   434d    192.168.223.76   nscc-ds-4a100-node10   <none>           <none>
kube-system            kube-apiserver-nscc-ds-4a100-node10                           1/1     Running                  5               416d    192.168.223.76   nscc-ds-4a100-node10   <none>           <none>
kube-system            kube-controller-manager-nscc-ds-4a100-node10                  1/1     Running                  12              69d     192.168.223.76   nscc-ds-4a100-node10   <none>           <none>
kube-system            kube-proxy-ccfdw                                              1/1     Running                  2 (86d ago)     87d     192.168.223.85   cloud                  <none>           <none>
kube-system            kube-proxy-qjrxm                                              1/1     Running                  11 (125d ago)   434d    192.168.223.76   nscc-ds-4a100-node10   <none>           <none>
kube-system            kube-proxy-wf5h5                                              1/1     Running                  11 (374d ago)   434d    192.168.223.75   nscc-ds-4a100-node9    <none>           <none>
kube-system            kube-scheduler-nscc-ds-4a100-node10                           1/1     Running                  16 (69d ago)    69d     192.168.223.76   nscc-ds-4a100-node10   <none>           <none>
prometheus             alertmanager-prometheus-kube-prometheus-alertmanager-0        0/2     Completed                0               372d    <none>           nscc-ds-4a100-node10   <none>           <none>
prometheus             prometheus-adapter-568b89fc74-qq7dp                           0/1     ImagePullBackOff         0               27d     10.244.1.78      cloud                  <none>           <none>
prometheus             prometheus-adapter-568b89fc74-sgncx                           0/1     ContainerStatusUnknown   0               209d    <none>           nscc-ds-4a100-node10   <none>           <none>
prometheus             prometheus-grafana-6dfb5b5d9c-h7rbg                           0/3     Completed                3 (125d ago)    209d    <none>           nscc-ds-4a100-node10   <none>           <none>
prometheus             prometheus-grafana-6dfb5b5d9c-r4j42                           3/3     Running                  0               27d     10.244.1.79      cloud                  <none>           <none>
prometheus             prometheus-kube-prometheus-operator-56dd5b955-8hxd4           0/1     ContainerStatusUnknown   1 (125d ago)    209d    <none>           nscc-ds-4a100-node10   <none>           <none>
prometheus             prometheus-kube-prometheus-operator-56dd5b955-ckghl           0/1     Completed                0               374d    <none>           nscc-ds-4a100-node10   <none>           <none>
prometheus             prometheus-kube-prometheus-operator-56dd5b955-z76fq           1/1     Running                  0               2d15h   10.244.3.9       nscc-ds-4a100-node9    <none>           <none>
prometheus             prometheus-kube-state-metrics-6787cc559f-8mt6c                0/1     ContainerStatusUnknown   0               209d    <none>           nscc-ds-4a100-node10   <none>           <none>
prometheus             prometheus-kube-state-metrics-6787cc559f-lndhg                0/1     ImagePullBackOff         0               27d     10.244.1.77      cloud                  <none>           <none>
prometheus             prometheus-prometheus-kube-prometheus-prometheus-0            0/2     Completed                0               372d    <none>           nscc-ds-4a100-node10   <none>           <none>
prometheus             prometheus-prometheus-node-exporter-5cp2h                     1/1     Running                  0               71d     192.168.223.75   nscc-ds-4a100-node9    <none>           <none>
prometheus             prometheus-prometheus-node-exporter-fn4ts                     1/1     Running                  2 (86d ago)     87d     192.168.223.85   cloud                  <none>           <none>
prometheus             prometheus-prometheus-node-exporter-xch22                     1/1     Running                  0               2d15h   192.168.223.76   nscc-ds-4a100-node10   <none>           <none>
