trace,arm,window_ts,model,node9_awake,node10_awake
t1,tre,2026-07-09T17:19:14Z,dsqwen-7b,0,1
t1,tre,2026-07-09T17:19:14Z,dsqwen-14b,0,1
t1,tre,2026-07-09T17:19:29Z,dsllama-8b,1,0
t1,tre,2026-07-09T17:19:29Z,dsqwen-7b,0,1
t1,tre,2026-07-09T17:19:29Z,dsqwen-14b,0,1
t1,tre,2026-07-09T17:19:45Z,dsllama-8b,1,0
t1,tre,2026-07-09T17:19:45Z,dsqwen-7b,0,1
t1,tre,2026-07-09T17:19:45Z,dsqwen-14b,0,1
t1,tre,2026-07-09T17:20:01Z,dsllama-8b,1,0
t1,tre,2026-07-09T17:20:01Z,dsqwen-7b,0,1
t1,tre,2026-07-09T17:20:01Z,dsqwen-14b,0,1
t1,tre,2026-07-09T17:20:16Z,dsllama-8b,1,0
t1,tre,2026-07-09T17:20:16Z,dsqwen-7b,0,1
t1,tre,2026-07-09T17:20:16Z,dsqwen-14b,0,1
t1,tre,2026-07-09T17:20:32Z,dsllama-8b,1,0
t1,tre,2026-07-09T17:20:32Z,dsqwen-7b,0,1
t1,tre,2026-07-09T17:20:32Z,dsqwen-14b,0,1
t1,tre,2026-07-09T17:20:48Z,dsllama-8b,1,0
t1,tre,2026-07-09T17:20:48Z,dsqwen-7b,0,2
t1,tre,2026-07-09T17:20:48Z,dsqwen-14b,0,1
t1,tre,2026-07-09T17:21:03Z,dsllama-8b,1,0
t1,tre,2026-07-09T17:21:03Z,dsqwen-7b,0,2
t1,tre,2026-07-09T17:21:03Z,dsqwen-14b,0,1
t1,tre,2026-07-09T17:21:19Z,dsllama-8b,1,0
t1,tre,2026-07-09T17:21:19Z,dsqwen-7b,0,2
t1,tre,2026-07-09T17:21:19Z,dsqwen-14b,0,1
t1,tre,2026-07-09T17:21:35Z,dsllama-8b,1,0
t1,tre,2026-07-09T17:21:35Z,dsqwen-7b,0,2
t1,tre,2026-07-09T17:21:35Z,dsqwen-14b,0,1
t1,tre,2026-07-09T17:21:50Z,dsllama-8b,1,0
t1,tre,2026-07-09T17:21:50Z,dsqwen-7b,0,2
t1,tre,2026-07-09T17:21:50Z,dsqwen-14b,0,1
t1,tre,2026-07-09T17:22:06Z,dsllama-8b,1,0
t1,tre,2026-07-09T17:22:06Z,dsqwen-7b,0,2
t1,tre,2026-07-09T17:22:06Z,dsqwen-14b,0,1
t1,tre,2026-07-09T17:22:22Z,dsllama-8b,1,0
t1,tre,2026-07-09T17:22:22Z,dsqwen-7b,0,2
t1,tre,2026-07-09T17:22:22Z,dsqwen-14b,0,1
t1,tre,2026-07-09T17:22:37Z,dsllama-8b,1,0
t1,tre,2026-07-09T17:22:37Z,dsqwen-7b,0,2
t1,tre,2026-07-09T17:22:37Z,dsqwen-14b,0,1
t1,tre,2026-07-09T17:22:53Z,dsllama-8b,1,0
t1,tre,2026-07-09T17:22:53Z,dsqwen-7b,0,2
t1,tre,2026-07-09T17:22:53Z,dsqwen-14b,0,1
t1,tre,2026-07-09T17:23:09Z,dsllama-8b,1,0
t1,tre,2026-07-09T17:23:09Z,dsqwen-7b,0,2
t1,tre,2026-07-09T17:23:09Z,dsqwen-14b,0,1
t1,tre,2026-07-09T17:23:24Z,dsllama-8b,1,0
t1,tre,2026-07-09T17:23:24Z,dsqwen-7b,2,2
t1,tre,2026-07-09T17:23:24Z,dsqwen-14b,0,1
t1,tre,2026-07-09T17:23:40Z,dsllama-8b,1,0
t1,tre,2026-07-09T17:23:40Z,dsqwen-7b,2,2
t1,tre,2026-07-09T17:23:40Z,dsqwen-14b,0,1
t1,tre,2026-07-09T17:23:56Z,dsllama-8b,1,0
t1,tre,2026-07-09T17:23:56Z,dsqwen-7b,2,2
t1,tre,2026-07-09T17:23:56Z,dsqwen-14b,0,1
t1,tre,2026-07-09T17:24:11Z,dsllama-8b,1,0
t1,tre,2026-07-09T17:24:11Z,dsqwen-7b,2,2
t1,tre,2026-07-09T17:24:11Z,dsqwen-14b,0,1
t1,tre,2026-07-09T17:24:27Z,dsllama-8b,1,0
t1,tre,2026-07-09T17:24:27Z,dsqwen-7b,2,2
t1,tre,2026-07-09T17:24:27Z,dsqwen-14b,0,1
t1,tre,2026-07-09T17:24:43Z,dsllama-8b,1,0
t1,tre,2026-07-09T17:24:43Z,dsqwen-7b,2,2
t1,tre,2026-07-09T17:24:43Z,dsqwen-14b,0,1
t1,tre,2026-07-09T17:24:58Z,dsllama-8b,1,0
t1,tre,2026-07-09T17:24:58Z,dsqwen-7b,2,2
t1,tre,2026-07-09T17:24:58Z,dsqwen-14b,0,1
t1,tre,2026-07-09T17:25:14Z,dsllama-8b,1,0
t1,tre,2026-07-09T17:25:14Z,dsqwen-7b,2,2
t1,tre,2026-07-09T17:25:14Z,dsqwen-14b,0,1
t1,tre,2026-07-09T17:25:29Z,dsllama-8b,1,0
t1,tre,2026-07-09T17:25:29Z,dsqwen-7b,2,2
t1,tre,2026-07-09T17:25:29Z,dsqwen-14b,0,1
t1,tre,2026-07-09T17:25:45Z,dsllama-8b,1,0
t1,tre,2026-07-09T17:25:45Z,dsqwen-7b,2,2
t1,tre,2026-07-09T17:25:45Z,dsqwen-14b,0,1
t1,tre,2026-07-09T17:26:01Z,dsllama-8b,1,0
t1,tre,2026-07-09T17:26:01Z,dsqwen-7b,2,2
t1,tre,2026-07-09T17:26:01Z,dsqwen-14b,0,1
t1,tre,2026-07-09T17:26:16Z,dsllama-8b,1,0
t1,tre,2026-07-09T17:26:16Z,dsqwen-7b,2,2
t1,tre,2026-07-09T17:26:16Z,dsqwen-14b,0,1
t1,tre,2026-07-09T17:26:32Z,dsllama-8b,1,0
t1,tre,2026-07-09T17:26:32Z,dsqwen-7b,2,2
t1,tre,2026-07-09T17:26:32Z,dsqwen-14b,0,1
t1,tre,2026-07-09T17:26:48Z,dsllama-8b,1,0
t1,tre,2026-07-09T17:26:48Z,dsqwen-7b,2,2
t1,tre,2026-07-09T17:26:48Z,dsqwen-14b,0,1
t1,tre,2026-07-09T17:27:03Z,dsllama-8b,1,0
t1,tre,2026-07-09T17:27:03Z,dsqwen-7b,2,2
t1,tre,2026-07-09T17:27:03Z,dsqwen-14b,0,1
t1,tre,2026-07-09T17:27:19Z,dsllama-8b,1,0
t1,tre,2026-07-09T17:27:19Z,dsqwen-7b,2,2
t1,tre,2026-07-09T17:27:19Z,dsqwen-14b,0,1
t1,tre,2026-07-09T17:27:35Z,dsllama-8b,1,0
t1,tre,2026-07-09T17:27:35Z,dsqwen-7b,2,2
t1,tre,2026-07-09T17:27:35Z,dsqwen-14b,0,1
t1,tre,2026-07-09T17:27:50Z,dsllama-8b,1,0
t1,tre,2026-07-09T17:27:50Z,dsqwen-7b,2,2
t1,tre,2026-07-09T17:27:50Z,dsqwen-14b,0,1
t1,tre,2026-07-09T17:28:06Z,dsllama-8b,2,0
t1,tre,2026-07-09T17:28:06Z,dsqwen-7b,2,2
t1,tre,2026-07-09T17:28:06Z,dsqwen-14b,0,1
t1,tre,2026-07-09T17:28:22Z,dsllama-8b,2,0
t1,tre,2026-07-09T17:28:22Z,dsqwen-7b,2,2
t1,tre,2026-07-09T17:28:22Z,dsqwen-14b,0,1
t1,tre,2026-07-09T17:28:37Z,dsllama-8b,2,0
t1,tre,2026-07-09T17:28:37Z,dsqwen-7b,2,2
t1,tre,2026-07-09T17:28:37Z,dsqwen-14b,0,1
