timestamp,serve_id,model,node,gpu_ids,state,source
2026-07-08T22:46:20.236279921Z,dsqwen-7b-nscc-ds-4a100-node10-gpu-3-5bdcc7896f-7sn2s,dsqwen-7b,nscc-ds-4a100-node10,3,awake,vllm_wake_complete
2026-07-08T22:48:55.308511076Z,dsqwen-7b-nscc-ds-4a100-node9-gpu-1-6cdfd4649-gjpqf,dsqwen-7b,nscc-ds-4a100-node9,1,awake,vllm_wake_complete
2026-07-08T22:56:15.191455643Z,dsqwen-7b-nscc-ds-4a100-node10-gpu-3-5bdcc7896f-7sn2s,dsqwen-7b,nscc-ds-4a100-node10,3,sleeping,vllm_sleep_complete
2026-07-08T22:58:43.444314024Z,dsqwen-7b-nscc-ds-4a100-node9-gpu-1-6cdfd4649-gjpqf,dsqwen-7b,nscc-ds-4a100-node9,1,sleeping,vllm_sleep_complete
2026-07-08T23:31:23.185211144Z,dsqwen-7b-nscc-ds-4a100-node10-gpu-3-5bdcc7896f-7sn2s,dsqwen-7b,nscc-ds-4a100-node10,3,awake,vllm_wake_complete
2026-07-08T23:34:02.821541631Z,dsqwen-7b-nscc-ds-4a100-node9-gpu-1-6cdfd4649-gjpqf,dsqwen-7b,nscc-ds-4a100-node9,1,awake,vllm_wake_complete
2026-07-08T23:34:12.971232253Z,dsqwen-7b-nscc-ds-4a100-node9-gpu-2-6f496c6d5d-f5fkx,dsqwen-7b,nscc-ds-4a100-node9,2,awake,vllm_wake_complete
2026-07-08T23:48:38.577244254Z,dsqwen-7b-nscc-ds-4a100-node10-gpu-3-5bdcc7896f-7sn2s,dsqwen-7b,nscc-ds-4a100-node10,3,sleeping,vllm_sleep_complete
2026-07-08T23:51:02.987865291Z,dsqwen-7b-nscc-ds-4a100-node9-gpu-2-6f496c6d5d-f5fkx,dsqwen-7b,nscc-ds-4a100-node9,2,sleeping,vllm_sleep_complete
2026-07-08T23:51:04.589198734Z,dsqwen-7b-nscc-ds-4a100-node9-gpu-1-6cdfd4649-gjpqf,dsqwen-7b,nscc-ds-4a100-node9,1,sleeping,vllm_sleep_complete
2026-07-09T17:20:37.599147220Z,dsqwen-7b-nscc-ds-4a100-node10-gpu-3-5bdcc7896f-7sn2s,dsqwen-7b,nscc-ds-4a100-node10,3,awake,vllm_wake_complete
2026-07-09T17:23:14.141802226Z,dsqwen-7b-nscc-ds-4a100-node9-gpu-1-6cdfd4649-gjpqf,dsqwen-7b,nscc-ds-4a100-node9,1,awake,vllm_wake_complete
2026-07-09T17:23:20.564225270Z,dsqwen-7b-nscc-ds-4a100-node9-gpu-2-6f496c6d5d-f5fkx,dsqwen-7b,nscc-ds-4a100-node9,2,awake,vllm_wake_complete
2026-07-09T17:27:51.557897829Z,dsllama-8b-nscc-ds-4a100-node9-gpu-3-689cdb87dd-dn7rq,dsllama-8b,nscc-ds-4a100-node9,3,awake,vllm_wake_complete
2026-07-09T17:32:14.558735037Z,dsqwen-7b-nscc-ds-4a100-node10-gpu-3-5bdcc7896f-7sn2s,dsqwen-7b,nscc-ds-4a100-node10,3,sleeping,vllm_sleep_complete
2026-07-09T17:33:34.142503938Z,dsllama-8b-nscc-ds-4a100-node10-gpu-3-77966677f4-95m45,dsllama-8b,nscc-ds-4a100-node10,3,awake,vllm_wake_complete
2026-07-09T17:34:41.282499432Z,dsqwen-7b-nscc-ds-4a100-node9-gpu-2-6f496c6d5d-f5fkx,dsqwen-7b,nscc-ds-4a100-node9,2,sleeping,vllm_sleep_complete
2026-07-09T17:34:42.965153640Z,dsqwen-7b-nscc-ds-4a100-node9-gpu-1-6cdfd4649-gjpqf,dsqwen-7b,nscc-ds-4a100-node9,1,sleeping,vllm_sleep_complete
